id,label,text
1,smish,URGENT: Your bKash account has been temporarily suspended. Verify immediately at: bit.ly/bkash-verify or call +8801711223344
2,promo,Flash Sale! 50% OFF on all smartphones this weekend only. Visit TechMart Dhanmondi or call 01977665544. Limited stock!
3,normal,Hey! Are you free this evening? Want to grab some coffee at the new place in Gulshan?
4,smish,Congratulations! You've won 50000 BDT in our lottery. Send your NID copy to claim: lottery.winner.bd/claim
5,promo,Grameenphone Special: 25GB + unlimited calls for only 399 TK. Valid 30 days. Dial *121*3399# now!
6,normal,Mom called earlier. She wants to know if you're coming for dinner on Friday.
7,smish,Your Dutch-Bangla Bank card will expire today. Update details: secure-dbbl.net/update PIN: 4829
8,promo,Buy 2 Get 1 FREE on all cosmetics! Shwapno supermarket. Offer valid till 15th December. Hurry up!
9,normal,Thanks for helping me with the assignment yesterday. I really appreciate it!
10,smish,ALERT: Suspicious activity on your Rocket account. Verify now: rocket-security.com Code: RK7732
11,promo,Foodpanda 70% discount on your first 3 orders! Use code: WELCOME70. Order now via app!
12,normal,The weather is so nice today. Perfect for a walk in Ramna Park. Want to join?
13,smish,Your phone will be disconnected due to unpaid bills. Pay 2350 TK immediately: telecom-pay.bd/urgent
14,promo,New year offer! 40GB internet + 1000 minutes talk time only 299 TK. Robi users dial *123*40#
15,normal,Happy birthday! Hope you have a wonderful day filled with joy and laughter.
16,smish,Bank notice: Your account shows irregular transactions. Verify: trust-sonali.net/verify OTP: 8847
17,promo,"Winter clothing sale! Up to 60% off on jackets, sweaters. Aarong stores nationwide. Limited time!"
18,normal,Did you watch the cricket match last night? What an incredible performance by Shakib!
19,smish,You have received a money transfer of 25000 BDT. Collect from: moneytransfer-bd.com/collect
20,promo,iPhone 14 Pro Max available with 0% EMI! Down payment just 15000 TK. StarTech showrooms.
21,normal,Sorry I'm running late. Traffic is terrible on Mirpur Road. Will be there in 20 minutes.
22,smish,"Your mobile banking PIN has been changed. If not done by you, call +8801555887799 immediately"
23,promo,Daraz 12.12 mega sale! Up to 80% discount on electronics. Free shipping on orders above 1000 TK!
24,normal,Looking forward to our reunion tomorrow. It's been ages since we all met together.
25,smish,Government tax refund of 15000 BDT pending. Claim at: gov-refund-bd.org Enter: NID + mobile number
26,promo,Domino's special: Buy any large pizza get medium pizza FREE! Call 16307 or order online now.
27,normal,Can you pick up some rice and lentils from the market? We're running low at home.
28,smish,Your credit card limit increased to 200000 BDT. Activate: cardactivation-bd.net PIN: CC9876
29,promo,Bata shoe festival! All footwear 40% off. Additional 10% discount with mobile banking payment!
30,normal,Congratulations on your new job! Let's celebrate this weekend. Dinner is on me!
31,smish,Emergency: Your mother is in hospital. Send 5000 TK for treatment: emergency-fund.bd/urgent
32,promo,Airtel 5G network launch offer! 50GB high-speed data for 7 days only 99 TK. Don't miss!
33,normal,The book you recommended was absolutely amazing. Do you have any other suggestions?
34,smish,UPS delivery failed. Reschedule and pay 350 TK fee: ups-bd-delivery.com Package: BD7829473
