id,label,text
1,smish,আপনার সোনালী ব্যাংক অ্যাকাউন্ট সন্দেহজনক কার্যকলাপের জন্য ব্লক করা হয়েছে। অবিলম্বে যোগাযোগ করুন: 01711223344
2,promo,বিশেষ অফার! গ্রামীণফোনে ৫০জিবি ডেটা মাত্র ৪৯৯ টাকায়। সীমিত সময়ের জন্য। *২৩৩# ডায়াল করুন।
3,normal,"ভাই, আজ বিকেলে খেলতে যাবে? নতুন ক্রিকেট ব্যাট কিনেছি।"
4,smish,অভিনন্দন! আপনি লটারিতে ৫ লক্ষ টাকা জিতেছেন। পুরস্কার নিতে এখনই কল করুন: +8801555666777
5,promo,রবিতে নতুন প্যাকেজ! ৩০ দিনের জন্য আনলিমিটেড কল মাত্র ২৯৯ টাকা। *১২৩*৩*৪# ডায়াল করুন।
6,normal,"মা, আমি অফিস থেকে বের হয়েছি। ৮টার মধ্যে বাসায় পৌঁছাবো।"
7,smish,আপনার ATM কার্ড এক্সপায়ার হয়েছে। নবায়নের জন্য tinyurl.com/renew-card এ ক্লিক করুন।
8,promo,দারাজে মেগা সেল! সকল পণ্যে ৫০% পর্যন্ত ছাড়। আজই কিনুন!
9,normal,আসসালামু আলাইকুম। আপনি কেমন আছেন? অনেক দিন খোঁজ নিই না।
10,smish,জরুরি! আপনার ব্র্যাক ব্যাংক অ্যাকাউন্ট হ্যাক হয়েছে। OTP: 2346 দিয়ে সুরক্ষিত করুন।
11,promo,বাংলালিংক স্পেশাল: ২৪ ঘন্টা ইন্টারনেট মাত্র ৯ টাকা। *৫০০০# ডায়াল করুন।
12,normal,আগামীকাল ঈদের শপিং করতে যাবো। তুমি কি যাবে সাথে?
13,smish,আপনার মোবাইল নম্বর lucky draw এ নির্বাচিত হয়েছে। ১০ লক্ষ টাকা জিতেছেন! কল করুন: 01833445566
14,promo,"নগদে পেমেন্ট করুন, পাবেন ১০% ক্যাশব্যাক! সর্বোচ্চ ১০০০ টাকা পর্যন্ত।"
15,normal,"বন্ধু, পরীক্ষার প্রস্তুতি কেমন? গণিতের কোন টপিক কঠিন লাগছে?"
16,smish,ইমার্জেন্সি: আপনার DBBL মোবাইল ব্যাংকিং একাউন্ট সাসপেন্ড। PIN রিসেট করুন: bit.ly/reset-pin
17,promo,এয়ারটেল বিশেষ অফার! ১জিবি ডেটা মাত্র ১২ টাকা। ৭ দিনের মেয়াদ। *৫৫৫# ডায়াল করুন।
18,normal,আজ বৃষ্টি হচ্ছে। ক্লাস বাতিল হয়েছে কিনা জানো?
19,smish,আপনার ভিসা কার্ড থেকে ৫০০০০ টাকা উত্তোলন হয়েছে। বন্ধ করতে ক্লিক: shorturl.at/block-card
20,promo,অনলাইন শপিংয়ে প্রথম অর্ডারে ২০% ছাড়! কুপন কোড: FIRST20
21,normal,"আপু, বাজার থেকে দুধ আনতে ভুলো না। রাতে পায়েস বানাবো।"
22,smish,সতর্কতা! আপনার City Bank অ্যাকাউন্টে সন্দেহজনক লেনদেন। তাৎক্ষণিক কল করুন: ০১৭৭৮৮৯৯০০০
23,promo,টেলিটক নতুন সিম! প্রথম রিচার্জে বোনাস ১০০% পর্যন্ত। কাছের রিটেইলার থেকে নিন।
24,normal,"আব্বু, গাড়ির তেল শেষ। কাল সকালে ফিল আপ করে নেবো।"
25,smish,জয়! আপনি Google লটারিতে $৫০০০০ জিতেছেন। claim করতে: winlottery.tk/claim পূরণ করুন।
26,promo,ফুড পান্ডায় ফ্রি ডেলিভারি! ২৫০ টাকার উপর সব অর্ডারে। আজই অর্ডার করুন।
27,normal,"দোস্ত, নতুন সিনেমা দেখেছো? রিভিউ ভালো শুনলাম।"
28,smish,আপনার NID কার্ড ভেরিফিকেশন প্রয়োজন। এখনই ডাউনলোড: verify-nid.ml
29,promo,"বিকাশে মানি ট্রান্সফার করুন, পাবেন ৫% বোনাস! সর্বোচ্চ ৫০০ টাকা।"
30,normal,"মেয়ে, খাওয়া দাওয়া করেছো তো? ঠিক সময়ে খেয়ো।"
31,smish,Emergency Alert: আপনার Islami Bank ডেবিট কার্ড ব্লক। আনব্লক করতে: 01666777888 এ কল
32,promo,শাহী বাজারে বিশাল ছাড়! সব গহনায় ৩০% পর্যন্ত কমতি। আজই আসুন।
33,normal,"চাচা, আপনার তবিয়ত কেমন? ডাক্তার কি বললেন?"
34,smish,আপনার টিএন্টি মোবাইল ব্যাংকিং একাউন্ট হ্যাক! তাড়াতাড়ি সুরক্ষিত করুন: secure-tnt.cf
35,promo,"নবরাত্রি অফার! সব শাড়িতে ৪০% ছাড়। বসুন্ধরা মল, আজ থেকে ৯ দিন।"
36,normal,"ভাইয়া, আপনার কম্পিউটার ঠিক করা হয়ে গেছে। নিয়ে যেতে পারেন।"
37,smish,আপনার পাসপোর্ট রিনিউ করার সময় হয়েছে। এখনই আবেদন: renew-passport.tk
38,promo,ফ্রি হোম ডেলিভারি! ৫০০ টাকার উপর সব মেডিসিনে। অনলাইন ফার্মেসি।
39,normal,"বোন, আগামীকাল তোমার জন্মদিন। কি গিফট চাও?"
40,smish,জরুরি নোটিশ: আপনার বিদ্যুৎ বিল বকেয়া। সংযোগ বিচ্ছিন্নের আগে পেমেন্ট: pay-bill.ga
41,promo,উবার বিশেষ ছাড়! প্রথম ১০ রাইডে ৫০% পর্যন্ত ছাড়। প্রোমো কোড: UBER50
42,normal,"দাদু, আপনার ওষুধ খাওয়ার সময় হয়েছে। ভুলে যাবেন না।"
43,smish,Congratulations! আপনার নাম UK ভিসা লটারিতে এসেছে। ফর্ম পূরণ: uk-visa-win.ml
44,promo,এক্সক্লুসিভ অফার! Samsung গ্যালাক্সিতে ১৫০০০ টাকা ছাড়। স্টক সীমিত।
45,normal,"আম্মু, আমার পরীক্ষার রেজাল্ট কাল বের হবে। দোয়া করবেন।"
46,smish,Alert! আপনার জব বেনিফিট একাউন্ট সাসপেন্ড। রিঅ্যাক্টিভেট: reactivate-account.cf
47,promo,পাঠাও রাইডে ৩০% ছাড়! আজকের জন্য সর্বোচ্চ ১০০ টাকা পর্যন্ত।
48,normal,"খালা, আজ আপনার ছেলের বিয়ের দাওয়াত। কয়টায় যেতে হবে?"
49,smish,গুরুত্বপূর্ণ: আপনার ভোটার আইডি আপডেট করুন। লিংক: update-voter-id.tk
50,promo,দারাজ ১১.১১ সেল! সব ক্যাটাগরিতে মেগা ডিসকাউন্ট। ফ্ল্যাশ সেল শুরু!
51,normal,"বাবা, অফিসের কাজ শেষ। এখন বাসায় ফিরছি।"
52,smish,সর্তকতা: আপনার মেট্রো রেইল কার্ড এক্সপায়ার। রিনিউ করুন: metrorail-renew.ga
53,promo,রকমারিতে বই মেলা! সকল বইয়ে ২৫% ছাড়। ফ্রি হোম ডেলিভারি।
54,normal,"আপা, আজ রান্না কি? আমি একটু দেরি করে আসবো।"
55,smish,জরুরি বার্তা! আপনার গ্যাস কানেকশন বন্ধ হবে। বিল পরিশোধ: gas-bill-pay.ml
56,promo,chaldal.com এ গ্রোসারি শপিং করুন। প্রথম অর্ডারে ১৫% ছাড় + ফ্রি ডেলিভারি।
57,normal,"দোস্ত, আজ ফুটবল ম্যাচ দেখবো। তোমার বাসায় আসবো।"
58,smish,আপনার ড্রাইভিং লাইসেন্স রিনিউ করার সময়। অনলাইনে করুন: renew-license.cf
