id,label,text
1,smish,"আপনার BRAC Bank account এ unusual transaction detect হয়েছে। যদি আপনি না করেছেন, তাহলে এখনই লগিন করে verify করুন http://brac-securebd.com. Transaction ID: 987654"
2,smish,URGENT: আপনার bKash account temporary block হয়েছে। Reactivate করতে click করুন http://bkashtk-verify.com এবং OTP code 4521 submit করুন।
3,smish,Congratulations! আপনি ৫ লাখ TK lottery prize জিতেছেন। Claim করতে এখনই visit করুন http://bdlottery.win. আপনার registration code 8742 ব্যবহার করুন।
4,smish,Alert! আপনার Dutch-Bangla Bank card unusual activity detect হয়েছে। Verify করতে এখনই click করুন http://dbbl-check.net before account block হবে।
5,smish,"সতর্কতা! আপনার Nagad account এ unauthorized login attempt হয়েছে। যদি এটা আপনার কাজ না হয়, reset করুন password এখনই http://nagadverify.com"
6,smish,Warning! Robi number ০১৮XXXXXX এ suspicious call detect হয়েছে। Confirm করতে এখনই visit করুন http://robi-alerts.com এবং reference code লিখুন 3256
7,smish,আপনার City Bank card expire হয়েছে। Update করতে click করুন http://citysecurebd.com. কোনো delay হলে আপনার account block হতে পারে।
8,smish,সতর্কতা! আপনার Bank Asia account login attempt failed হয়েছে। Reset করতে এখনই visit করুন http://bankasia-reset.com এবং OTP verify করুন।
9,smish,Congratulations! Dutch-Bangla lottery prize ৩ লাখ TK। Claim করতে visit করুন http://dbbl-lottery.com. Claim code 5721
10,smish,Warning! UCB account unauthorized transaction detect হয়েছে। Verify করতে এখনই visit করুন http://ucb-securebd.com এবং ৪ digit code 8912 submit করুন।
11,promo,"Grameenphone special offer: ৫০০ TK recharge করুন এবং ১ GB extra data পান। Offer valid for ২৪ hours only, তাই আজই recharge করুন!"
12,promo,"New summer collection launch: সব clothes এ ২০% discount। Limited stock available, so online order করুন এখনই এবং free delivery পান।"
13,promo,"Robi ৫০০ TK recharge করুন এবং ১০০ TK extra bonus পান। Offer valid until ১০ Sep 2025, hurry up, first ৫০০ users only!"
14,promo,BRAC Bank credit card holders জন্য special cashback ১০% on electronics items। Apply করুন এখনই এবং instant reward points পান।
15,promo,"Nagad mobile recharge করুন এবং ১০% extra credit পান। Offer valid for first ৫০০ users only, recharge now using app or USSD code।"
16,promo,TeleTalk নতুন SIM plan: Unlimited call + ২ GB internet মাত্র ২৯৯ TK। Activate করুন এখনই before offer ends।
17,promo,DBBL online banking ব্যবহার করে bill pay করুন এবং exclusive reward points পান। Register করুন এখনই and enjoy benefits।
18,promo,City Bank app payment করুন এবং instant cashback ৫% পান। Download করুন app এখনই এবং enjoy secure online transactions।
19,normal,কালকে class এ আসবা তো? আমরা বাসা থেকে একসাথে যাই। After class coffee খেতে যেতে পারি।
20,normal,আজকে dinner এর জন্য কি plan? তুমি কিছু cook করতে চাও নাকি বাইরে order করি? Let me know।
21,normal,"Hi Rafiq, কালকের meeting time confirm করেছো কি? আমি planning করতে চাই, so kindly reply as soon as possible।"
22,normal,"আজ Sunday, chill করার ইচ্ছে আছে। Movie দেখতে যাবো কি? Weather অনেক সুন্দর।"
23,normal,"মা, market থেকে কিছু vegetables আনতে হবে। I will pay cash, আর তুমি কি fruits ও আনবে?"
24,normal,"বন্ধু, Sunday picnic এর জন্য plan ঠিক করেছো কি? আমরা early morning বের হবো, Let’s coordinate।"
25,normal,"Hi Shumi, তুমি কেমন আছো? আজকে coffee খেতে আসো না? আমাদের অনেক কথা catch up করতে হবে।"
26,normal,কালকের training session cancel হয়েছে। নতুন date পরে জানানো হবে। Please inform all teammates।
27,normal,আজ bike ride করতে যাই? Weather খুব সুন্দর। তুমি join করছো কি? Let’s meet at usual spot।
28,normal,"মামা, Eid gift জন্য কিছু buy করতে হবে। Shall we go together to Bashundhara Shopping Mall? Enjoy shopping।"
29,smish,আপনার Dutch-Bangla ATM card unusual transaction detect করেছে। Verify করতে এখনই click করুন http://dbbl-alerts.com and provide your ৪ digit OTP।
30,smish,Alert! আপনার Nagad account unauthorized login detect হয়েছে। Reset password এখনই: http://nagad-securebd.com এবং login attempt verify করুন।
31,smish,Congratulations! আপনি ২ লাখ TK lucky draw prize জিতেছেন। Claim করতে visit করুন http://bd-lottery.net with code 5721
32,smish,URGENT: আপনার BRAC Bank account block হতে চলেছে। Verify করতে এখনই click করুন http://bracsecurelogin.com before any fund loss।
33,smish,আপনার UCB card unusual purchase detect হয়েছে। Confirm করতে visit করুন http://ucb-alertbd.com এখনই and avoid account block।
34,smish,আপনার City Bank OTP expire হয়েছে। Get new OTP at http://citybank-verify.com before any transaction fail।
35,smish,সতর্কতা! আপনার Bank Asia online login failed হয়েছে। Reset now: http://bankasia-alert.com এবং secure password set করুন।
36,promo,"GP new offer: Recharge ২০০ TK এবং ১ GB extra data পান। Limited time, তাই আজই recharge করুন।"
37,promo,Summer sale: সব shirts এখন ৩০% discount। Online order করুন এখনই এবং free delivery পান।
38,promo,"Robi ১০০ TK recharge করলে ২০ TK bonus পান। Offer limited to first ১০০০ users, hurry up!"
39,promo,BRAC Bank credit card holders ১৫% discount পান grocery shopping এ। Apply today এবং instant cashback পান।
40,promo,"Nagad recharge করুন ২০০ TK এ এবং ২০ TK extra credit পান। Hurry, offer valid today only।"
41,promo,TeleTalk unlimited call + ১ GB internet মাত্র ১৯৯ TK। Activate করুন আজই before offer expires।
42,promo,DBBL online payment এ reward points পান। Register now এবং future bill pay এ benefit পান।
43,promo,City Bank app ব্যবহার করে pay করুন এবং instant ৫% cashback পান। Download now এবং enjoy seamless payment।
44,normal,"Hi Arif, কালকে football খেলা হবে। তুমি আসছো কি? আমরা early morning মিলব usual place এ।"
45,normal,আজকে party করতে যাচ্ছি। তুমি join করছো কি? Let's enjoy and plan together।
46,normal,"মা, market থেকে কিছু fruits আনো। আমি cash দিবো। তুমি কি vegetables ও আনবে? Let's coordinate।"
47,normal,"বন্ধু, Sunday bike ride plan confirm করেছো কি? Weather perfect, so আমরা early বের হব।"
48,normal,"Hi Rumi, coffee খেতে আসছো আজ? Weather খুব nice, এবং অনেক gossip আছে।"
49,normal,কালকের workshop cancel হয়েছে। নতুন date পরে জানানো হবে। All participants কে inform করতে হবে।
50,normal,আজ cinema যেতে ইচ্ছে আছে। তুমি আসছো কি? Let’s buy tickets online।
51,normal,"মামা, Eid gift buy করতে হবে। Shall we go together to Bashundhara Shopping Mall? Enjoy shopping time।"
52,normal,আজ lunch কোথায় খাওয়া যায়? Any idea? আমরা দুইটা restaurant check করতে পারি।
53,normal,"Hi Shakib, তুমি কেমন আছো? Let's meet after class এবং নতুন project discuss করি।"
54,smish,Congratulations! ৩ লাখ TK lottery prize জিতেছেন। Claim at http://bdlottery.net with code 9863
55,smish,আপনার Dutch-Bangla Bank account unusual activity detect হয়েছে। Verify at http://dbbl-securelogin.com now
56,promo,New summer collection: ২০% discount on all items। Online shop করুন এবং free delivery পান
57,promo,"Robi recharge ২০০ TK get ৫০ TK bonus। First ১০০০ users only, hurry up, claim now"
58,normal,কালকে class এ আসবে? আমরা বাসা থেকে একসাথে যাই। After class coffee খেতে যেতে পারি
59,normal,আজকে dinner এর জন্য কি plan? তুমি কিছু cook করতে চাও নাকি বাইরে order করি? Let me know
60,normal,"Hi Rafiq, কালকের meeting time confirm করেছো কি? Planning করতে চাই, so kindly reply asap"
61,normal,আজ Sunday chill করার ইচ্ছে আছে। Movie দেখতে যাবো কি? Weather অনেক সুন্দর
62,normal,"মা, market থেকে কিছু vegetables আনতে হবে। I will pay cash, তুমি কি fruits ও আনবে?"
