id,label,text
1,smish,Apnar Dutch-Bangla Bank account theke 45000 TK withdraw hoyeche. Jodi apni koren ni tahole akhoni call korun +8801987654321
2,promo,Robi special offer! 10GB internet + unlimited call only 99TK. Dial *123*45# akhon. Offer sesh 31st December.
3,normal,"Bhai khana kheyecho? Ami ekhon office theke berochhi, raste dekha hobe?"
4,smish,"URGENT: Apnar Bkash pin compromise hoyeche, notun pin set korte link e click korun: bkash-verify.tk"
5,promo,Grameenphone Valentine offer! Girlfriend ke surprise din 1GB internet gift kore. Details: *121*3#
6,normal,Kal eksathe movie dekhte jabo? Cineplex e Charlie's Angels cholche.
7,smish,"Apnar NID card expire hoye gieche, renew na korle 50000 TK fine. Verify: nid-gov-bd.com"
8,promo,Samsung Galaxy S21 only 65000 TK! EMI facility available. Visit Bashundhara City today.
9,normal,Ma ekhon kothay? Bazar theke lebu ene deben please.
10,smish,Congratulations! Apni 5 lakh taka lottery jitechen. Claim korte 5000 TK fee send korun bKash e.
11,promo,"Nagad cashback offer! Recharge 100TK, paben 20TK bonus. *167# dial korun."
12,normal,"Tomake khub miss korchi, kokhon ashbe Dhaka te?"
13,smish,Apnar IFIC Bank card block hoye gieche suspicious activity er jonno. Call korun: 01711223344
14,promo,Pizza Hut mega deal! 2 large pizza only 999TK. Home delivery free. Order: pizzahut.com.bd
15,normal,Aj university te class ache? Naki bondho?
16,smish,Bitcoin investment opportunity! Daily 2000 TK income. Register: crypto-bd.net
17,promo,Walton refrigerator 50% discount! Only 3 days left. Visit showroom or call 16263.
18,normal,Apnar chele ki valo ache? Onek din dekhi na.
19,smish,Your mobile number selected for 10 lakh prize. Pay 1000TK processing fee to claim.
20,promo,Airtel night package! Unlimited internet 12AM to 8AM only 25TK. *121*5#
21,normal,"Bhabi rasanna ta khub bhalo hoyeche, recipe ta diben?"
22,smish,Apnar social security benefits er jonno 25000 TK approve hoyeche. Collect korte call: 01612345678
23,promo,Daraz 11.11 sale! Upto 80% off on mobiles. Free shipping. Shop now: daraz.com.bd
24,normal,"Train er ticket kete rakhchi, Chittagong jabo Sunday te."
25,smish,DBBL online banking suspended. Activate korte account details din: dbbl-secure.tk
26,promo,KFC bucket offer! 8 pieces chicken + 2 burgers = 599TK only. Call 16644.
27,normal,"Cricket match ta dekhlam, Bangladesh khub bhalo khelche."
28,smish,Apni Google lottery winner! 50 lakh USD jitechen. Tax 10000TK pay korun.
29,promo,Singer washing machine 20000TK discount! Zero percent EMI. Hotline: 09666777888
30,normal,Bondhu hochhe kemne? Family sob thik ache?
31,smish,Urgent police verification required. Fine avoid korte 2000TK bKash korun 01798765432 e.
32,promo,Banglalink internet package! 30GB internet 30 days validity 299TK. *5000*41#
33,normal,"Aj raat e football match ache, dekho na keno?"
34,smish,Your SIM will be disconnected. Reactivate korte call customer care: 01555123456
35,promo,McDonald's happy meal only 199TK! Free toy included. Drive thru open 24/7.
36,normal,"Tomar boi ta ami porchi, khub interesting."
37,smish,Fraud alert! Someone accessing your bank. Verify immediately: secure-bank-bd.com
38,promo,Bashundhara Group job circular! Apply today. Salary upto 1 lakh. careers.bashundhara.com
39,normal,"Eid er shopping korbo, tumi o jabe Gausia te?"
40,smish,Tax department notice. Pay 15000TK fine or face legal action. Link: tax-bd.org
41,promo,Domino's pizza buy 1 get 1 free! Today only. Order online or call 09666707070
42,normal,Baba apni medicine ta niyechen? Vule jan na please.
43,smish,Apnar Rocket account hacked! Security check korte OTP din: 4578
44,promo,Xiaomi phone flash sale! 50% off original price. Limited time. mi.com/bd
45,normal,Ghumiye porechen? Ami ekhono kaj korchi office e.
46,smish,Court summons! Appear with 20000TK or warrant issued. Contact: law-notice-bd.net
